measure,dataset,0%,"10,00%","20,00%","30,00%","40,00%","50,00%","60,00%","70,00%","80,00%","90,00%","100,00%"
EDRClassifierTest,"Geolife University ",10,"0.79746304606102,0.7358507249638093,0.7034598469995762,0.670712159753621,0.6568229278709631,0.6674500973350139,0.6776045664604254,0.681714939660139,0.6866455521117716,0.6916850014778041"
LCSSClassifierTest,"Geolife University ",10,"0.79746304606102,0.7327814301250877,0.6963350229531636,0.6652992919050301,0.6499784033368969,0.6612010037500052,0.6610599971896242,0.6577042978845973,0.6513258674187745,0.6553780939477266"
SMSMTemporalDurationClassifierTest,"Geolife University ",10,"0.7865217640919647,0.7627829927911199,0.7747963956199548,0.7448620751949625,0.664315766684461,0.6404444778738608,0.6268144297575441,0.6094047725445848,0.5953871699575309,0.5911855408667966"
SMSMEllipsesWithDistanceClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.9434682964094728,0.9339285714285714,0.9176217189192968,0.8812237988560607,0.8648627885262734,0.8493228613945997,0.8255919304169573,0.8104526623306835,0.7755723989420246"
SMSMEllipsesClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.9434682964094728,0.9339285714285714,0.9176217189192968,0.8812237988560607,0.8648627885262734,0.8493228613945997,0.8255919304169573,0.8104526623306835,0.7755723989420246"
SMSMEllipsesWithTemporalDurationClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.9434682964094728,0.9339285714285714,0.9176217189192968,0.8812237988560607,0.8648627885262734,0.8493228613945997,0.8255919304169573,0.8104526623306835,0.7755723989420246"
MSMClassifierTest,"Geolife University ",10,"0.717022764412262,0.6152838253328393,0.5854579571809237,0.5590424298692844,0.5420765941871416,0.5528415279807618,0.564327202653202,0.5674116150350564,0.5695803279784716,0.573041587198281"
SMSMEllipsesClassifierTest,"Geolife University ",10,"1.0,0.9222640588787897,0.8830422693380842,0.8588150177698297,0.8251523976185355,0.8121535111190421,0.7992549696457624,0.7773098795175278,0.7698212527663254,0.7655569862934344"
EDRClassifierTest,San Francisco cab (Directed Regions),10,"0.747000466853408,0.670712729536259,0.6538481534805064,0.6656199908908887,0.6528019824038308,0.6409445047925038,0.6198309064586431,0.6032513241126128,0.5941550174012883,0.5893620414483023"
SMSMDistanceClassifierTest,"Geolife University ",10,"1.0,0.912740862528398,0.8493618097055682,0.8226550688037632,0.7799952222091131,0.7280765129786273,0.7102441129125592,0.6898801164161636,0.6882333191317554,0.691097302521994"
SMSMEllipsesWithTemporalDurationClassifierTest,"Geolife University ",10,"0.813399399936444,0.7854144043469262,0.7709406014900252,0.767369690729672,0.7650245243710305,0.7477627923350261,0.7452288866170957,0.7384744285979553,0.7336119010394283,0.727848083136144"
MSMClassifierTest,San Francisco cab (Directed Regions),10,"0.6088400161929574,0.5050802932459352,0.4982769772846514,0.48574817414610505,0.4570708461002505,0.42164533049954417,0.40604993878557194,0.38552280755911333,0.3712704518853902,0.36770701259651006"
SMSMEllipsesWithDistanceClassifierTest,"Geolife University ",10,"1.0,0.918621462884919,0.8748645877184762,0.8522170583509057,0.8238654174982688,0.8111540373769589,0.8036456898959027,0.7815933503076927,0.7748236159713382,0.7715598009810063"
LCSSClassifierTest,San Francisco cab (Directed Regions),10,"0.747000466853408,0.6691434996937843,0.6433724725293857,0.6481137726131468,0.6107220197550961,0.5793146843583156,0.5440236383936529,0.5064895045628275,0.4619817819830426,0.4378493129103592"
SMSMEllipsesWithDistanceAndTemporalDurationClassifierTest,"Geolife University ",10,"0.810706907729884,0.7879236328000583,0.773387118930408,0.7708348393195448,0.7676370879099086,0.7523109298673932,0.752606302973737,0.7467387359570364,0.7437747445688534,0.7357759624772371"
SMSMTemporalDurationClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.808994708994709,0.7880151302945421,0.7145554608789902,0.7041219880354374,0.6932121340806007,0.6419842101036459,0.602234472937792,0.5892341422306678,0.5884587725122731"
SMSMDistanceClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.8009457318280848,0.7191966938290467,0.6868548822701072,0.6685433327296147,0.6632167054534512,0.6400185861992788,0.6238257416183357,0.6047187802268311,0.5997592705350684"
SMSMEllipsesWithDistanceAndTemporalDurationClassifierTest,San Francisco cab (Directed Regions),10,"1.0,0.8157874260815436,0.7997501273236567,0.7200148163383457,0.7040334993405927,0.6901351089099222,0.627902606394305,0.5954665905843195,0.585801381325363,0.5903843016163085"
