dataset;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
Dublin bus(lines=2);MSMClassifierTest;cross-validation;0.48265169740711034;1.0;0.0;0.0;1.0;0.0;0.0
Dublin bus(lines=2);MSMMovePointsClassifierTest;cross-validation;0.9953755680299385;1.0;0.990909090909091;0.9953488372093023;1.0;0.0;0.0
Dublin bus(lines=2);DTWClassifierTest;cross-validation;0.5707564822240042;0.9294117647058823;0.28863583225285355;0.4106194056569997;0.9454545454545455;0.05454545454545454;0.07058823529411765
Dublin bus(lines=2);MSMMoveDistanceClassifierTest;cross-validation;0.9860999732691793;1.0;0.990909090909091;0.9953488372093023;1.0;0.0;0.0
Dublin bus(lines=2);MSMMoveAngleClassifierTest;cross-validation;0.9860999732691793;0.9955555555555555;0.9818918669982499;0.9885414700094408;0.9952380952380953;0.0047619047619047675;0.0044444444444444444
Dublin bus(lines=2);MSMMovePointsClassifierTest;holdout;1.0;1.0;1.0;1.0;1.0;0.0;0.0
Dublin bus(lines=2);HCSSClassifierTest;holdout;0.8041958041958042;0.9591836734693877;0.6438356164383562;0.7704918032786885;0.9714285714285714;0.02857142857142858;0.04081632653061224
Dublin bus(lines=2);HCSSClassifierTest;cross-validation;0.7608928094092489;1.0;0.42387470685343026;0.58330493204266;1.0;0.0;0.0
Dublin bus(lines=2);SWALEClassifierTest;holdout;0.6013986013986014;0.7;0.3835616438356164;0.495575221238938;0.8285714285714286;0.17142857142857137;0.3
Dublin bus(lines=2);MSTPClassifierTest;cross-validation;0.48265169740711034;1.0;0.0;0.0;1.0;0.0;0.0
Dublin bus(lines=2);wDFClassifierTest;holdout;0.9370629370629371;0.9848484848484849;0.8904109589041096;0.935251798561151;0.9857142857142858;0.014285714285714235;0.015151515151515152
Dublin bus(lines=2);ERPClassifierTest;cross-validation;0.48265169740711034;0.8950819672131146;0.17358846826931934;0.17743768575391322;0.8545454545454545;0.14545454545454545;0.10491803278688525
Dublin bus(lines=2);SWALEClassifierTest;cross-validation;0.5405773857257417;0.5968174109666478;0.4973228898760814;0.5280283713113916;0.6488063000828959;0.35119369991710414;0.4031825890333522
Dublin bus(lines=2);EDRClassifierTest;holdout;0.951048951048951;1.0;0.9041095890410958;0.949640287769784;1.0;0.0;0.0
Dublin bus(lines=2);MSMMoveAngleClassifierTest;holdout;0.986013986013986;0.9863013698630136;0.9863013698630136;0.9863013698630136;0.9857142857142858;0.014285714285714235;0.0136986301369863
Dublin bus(lines=2);CVTIClassifierTest;cross-validation;0.48265169740711034;1.0;0.0;0.0;1.0;0.0;0.0
Dublin bus(lines=2);DTWaClassifierTest;cross-validation;0.7425554664528201;1.0;0.5198886220162816;0.6817143442143443;1.0;0.0;0.0
Dublin bus(lines=2);MSMMoveDistanceClassifierTest;holdout;0.986013986013986;0.9863013698630136;0.9863013698630136;0.9863013698630136;0.9857142857142858;0.014285714285714235;0.0136986301369863
Dublin bus(lines=2);wDFClassifierTest;cross-validation;0.9466452820101576;0.9846153846153847;0.8872744276999596;0.9331746031746031;0.9863636363636363;0.013636363636363646;0.015384615384615385
Dublin bus(lines=2);DTWaClassifierTest;holdout;0.7342657342657343;1.0;0.4794520547945205;0.6481481481481481;1.0;0.0;0.0
Dublin bus(lines=2);LCSSClassifierTest;holdout;0.8811188811188811;0.9666666666666667;0.7945205479452054;0.8721804511278196;0.9714285714285714;0.02857142857142858;0.03333333333333333
Dublin bus(lines=2);MSMMoveEllipsesClassifierTest;holdout;0.993006993006993;1.0;0.9863013698630136;0.993103448275862;1.0;0.0;0.0
Dublin bus(lines=2);ERPClassifierTest;holdout;0.48951048951048953;1.0;0.0;0.0;1.0;0.0;0.0
Dublin bus(lines=2);EDRClassifierTest;cross-validation;0.9582464581662655;0.9953488372093023;0.9542503595695084;0.9740805080152766;0.9954545454545455;0.004545454545454542;0.004651162790697674
Dublin bus(lines=2);MSMMoveEllipsesClassifierTest;cross-validation;0.990751136059877;1.0;0.9823984526112186;0.9910010111223458;1.0;0.0;0.0
Dublin bus(lines=2);DTWClassifierTest;holdout;0.6013986013986014;1.0;0.2191780821917808;0.3595505617977528;1.0;0.0;0.0
Dublin bus(lines=2);LiuSchneiderClassifierTest;holdout;0.48951048951048953;1.0;0.0;0.0;1.0;0.0;0.0
Dublin bus(lines=2);MSTPClassifierTest;holdout;0.48951048951048953;1.0;0.0;0.0;1.0;0.0;0.0
Dublin bus(lines=2);MSMClassifierTest;holdout;0.48951048951048953;1.0;0.0;0.0;1.0;0.0;0.0
Dublin bus(lines=2);LCSSClassifierTest;cross-validation;0.8839080459770114;0.9866666666666667;0.8124535039428655;0.8863754661130974;0.9863636363636363;0.013636363636363646;0.013333333333333332
Dublin bus(lines=2);CVTIClassifierTest;holdout;0.48951048951048953;1.0;0.0;0.0;1.0;0.0;0.0
Dublin bus(lines=2);LiuSchneiderClassifierTest;cross-validation;0.4849238171611868;1.0;0.0047619047619047615;0.009302325581395349;1.0;0.0;0.0
